"date","season","competition","type","name","nation","rank","course.rank","tot.time","course.time","location","elevation","height.diff","max.climb","total.climb","birthday","snow.conditions","snow.temperature","air.temperature","weather.conditions","fails.total","speed","age","home"
"10-12-1","10-11","I","W","OLOFSSON-ZIDEK Anna Carin","SWE",1,14,2726.1,2443.6,"Östersund",364,48,48,129,"1.4.1973","Hard",-12.5,-10.2,"Sky Clear",0,6.13848420363398,37.6931506849315,"Aboard"
"10-12-1","10-11","I","W","BRUNET Marie Laure","FRA",2,2,2735,2371.2,"Östersund",364,48,48,129,"20.11.1988","Hard",-12.5,-10.2,"Sky Clear",2,6.32591093117409,22.0438356164384,"Aboard"
"10-12-1","10-11","I","W","EKHOLM Helena","SWE",3,4,2768.8,2384.7,"Östersund",364,48,48,129,"6.9.1984","Hard",-12.5,-10.2,"Sky Clear",2,6.29009938357026,26.2521689497717,"Aboard"
"10-12-1","10-11","I","W","SEMERENKO Valj","UKR",4,7,2785.2,2406.7,"Östersund",364,48,48,129,"18.1.1986","Hard",-12.5,-10.2,"Sky Clear",2,6.2326006565006,24.8849315068493,"Aboard"
"10-12-1","10-11","I","W","ROMANOVA Iana","RUS",5,42,2795.9,2551.9,"Östersund",364,48,48,129,"11.5.1983","Hard",-12.5,-10.2,"Sky Clear",0,5.87797327481484,27.578196347032,"Aboard"
"10-12-1","10-11","I","W","ZAITSEVA Olga","RUS",6,8,2798.3,2407.5,"Östersund",364,48,48,129,"16.5.1978","Hard",-12.5,-10.2,"Sky Clear",2,6.23052959501558,32.5671232876712,"Aboard"
"10-12-1","10-11","I","W","GREGORIN Teja","SLO",7,3,2834.7,2372.7,"Östersund",364,48,48,129,"29.6.1980","Hard",-12.5,-10.2,"Sky Clear",3,6.32191174611202,30.4439497716895,"Aboard"
"10-12-1","10-11","I","W","SLEPTSOVA Svetlana","RUS",8,11,2843.9,2423.9,"Östersund",364,48,48,129,"31.7.1986","Hard",-12.5,-10.2,"Sky Clear",3,6.18837410784273,24.3535388127854,"Aboard"
"10-12-1","10-11","I","W","HENKEL Andrea","GER",9,9,2855.2,2407.6,"Östersund",364,48,48,129,"10.12.1977","Hard",-12.5,-10.2,"Sky Clear",3,6.2302708091045,32.9972602739726,"Aboard"
"10-12-1","10-11","I","W","FLATLAND Ann Kristin Aafedt","NOR",10,10,2869.3,2422.6,"Östersund",364,48,48,129,"6.11.1982","Hard",-12.5,-10.2,"Sky Clear",3,6.19169487327664,28.0876712328767,"Aboard"
"10-12-1","10-11","I","W","MÄKÄRÄINEN Kaisa","FIN",11,1,2877.8,2359.2,"Östersund",364,48,48,129,"11.1.1983","Hard",-12.5,-10.2,"Sky Clear",4,6.35808748728383,27.9068493150685,"Aboard"
"10-12-1","10-11","I","W","DORIN HABERT Marie","FRA",12,12,2881.1,2424,"Östersund",364,48,48,129,"19.6.1986","Hard",-12.5,-10.2,"Sky Clear",3,6.18811881188119,24.4686073059361,"Aboard"
"10-12-1","10-11","I","W","HALLER Katja","ITA",13,59,2882,2596.9,"Östersund",364,48,48,129,"12.1.1981","Hard",-12.5,-10.2,"Sky Clear",0,5.77611767877084,29.9041095890411,"Aboard"
"10-12-1","10-11","I","W","BOBAK Paulina","POL",14,46,2892.7,2562.6,"Östersund",364,48,48,129,"1.10.1984","Hard",-12.5,-10.2,"Sky Clear",1,5.85343011004449,26.1835616438356,"Aboard"
"10-12-1","10-11","I","W","PIDHRUSHNA Olena","UKR",15,24,2902.3,2506.4,"Östersund",364,48,48,129,"9.1.1987","Hard",-12.5,-10.2,"Sky Clear",2,5.98467922119374,23.9095890410959,"Aboard"
"10-12-1","10-11","I","W","GWIZDON Magdalena","POL",16,33,2914.5,2525.3,"Östersund",364,48,48,129,"4.8.1979","Hard",-12.5,-10.2,"Sky Clear",2,5.93988833009939,31.3479452054795,"Aboard"
